Process,Ecosystem Service,Rating,Justification
Restaurant provision,Climate regulation,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Restaurant provision,Flood and storm protection,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Restaurant provision,Ground water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Restaurant provision,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Restaurant provision,Ventilation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Saltwater wild-caught fish,Buffering and attenuation of mass flows,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Saltwater wild-caught fish,Dilution by atmosphere and ecosystems,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Saltwater wild-caught fish,Genetic materials,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Saltwater wild-caught fish,Maintain nursery habitats,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Saltwater wild-caught fish,Mass stabilisation and erosion control,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Saltwater wild-caught fish,Pest control,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Saltwater wild-caught fish,Soil quality,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Saltwater wild-caught fish,Surface water,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Saltwater wild-caught fish,Ventilation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Saltwater wild-caught fish,Water quality,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale forestry,Animal-based energy,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale forestry,Bio-remediation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Small-scale forestry,Climate regulation,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale forestry,Disease control,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale forestry,Fibres and other materials,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale forestry,Filtration,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Small-scale forestry,Flood and storm protection,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Small-scale forestry,Ground water,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale forestry,Mass stabilisation and erosion control,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale forestry,Pest control,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale forestry,Pollination,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale forestry,Soil quality,H,"Production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes this a high risk"
Small-scale forestry,Surface water,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale forestry,Water flow maintenance,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale irrigated arable crops,Animal-based energy,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale irrigated arable crops,Bio-remediation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Small-scale irrigated arable crops,Buffering and attenuation of mass flows,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale irrigated arable crops,Climate regulation,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale irrigated arable crops,Dilution by atmosphere and ecosystems,M,"Although less practical, production process can take place without the ecosystem service due to availability of impact mitigation solutions"
Small-scale irrigated arable crops,Disease control,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale irrigated arable crops,Fibres and other materials,M,"Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service

 Although less practical, production process can take place without the ecosystem service due to availability of substitutes
"
Small-scale irrigated arable crops,Filtration,M,"Although less practical, production process can take place without the ecosystem service due to availability of impact mitigation solutions"
Small-scale irrigated arable crops,Flood and storm protection,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale irrigated arable crops,Genetic materials,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Small-scale irrigated arable crops,Ground water,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale irrigated arable crops,Mass stabilisation and erosion control,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale irrigated arable crops,Pest control,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale irrigated arable crops,Pollination,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale irrigated arable crops,Soil quality,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale irrigated arable crops,Surface water,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale irrigated arable crops,Ventilation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Small-scale irrigated arable crops,Water flow maintenance,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale irrigated arable crops,Water quality,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale livestock (beef and dairy),Bio-remediation,M,"Although less practical, production process can take place without the ecosystem service due to availability of impact mitigation solutions"
Small-scale livestock (beef and dairy),Buffering and attenuation of mass flows,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Small-scale livestock (beef and dairy),Climate regulation,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale livestock (beef and dairy),Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Small-scale livestock (beef and dairy),Disease control,H,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Small-scale livestock (beef and dairy),Fibres and other materials,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale livestock (beef and dairy),Filtration,M,"Although less practical, production process can take place without the ecosystem service due to availability of impact mitigation solutions"
Small-scale livestock (beef and dairy),Flood and storm protection,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale livestock (beef and dairy),Genetic materials,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Small-scale livestock (beef and dairy),Ground water,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale livestock (beef and dairy),Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Small-scale livestock (beef and dairy),Mediation of sensory impacts,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Small-scale livestock (beef and dairy),Pest control,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Small-scale livestock (beef and dairy),Pollination,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Small-scale livestock (beef and dairy),Soil quality,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale livestock (beef and dairy),Surface water,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale livestock (beef and dairy),Ventilation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Small-scale livestock (beef and dairy),Water flow maintenance,H,Ecosystem service is critical and irreplaceable in production process
Small-scale livestock (beef and dairy),Water quality,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale rainfed arable crops,Animal-based energy,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale rainfed arable crops,Bio-remediation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Small-scale rainfed arable crops,Buffering and attenuation of mass flows,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale rainfed arable crops,Climate regulation,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale rainfed arable crops,Dilution by atmosphere and ecosystems,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Small-scale rainfed arable crops,Disease control,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale rainfed arable crops,Fibres and other materials,M,"Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service

 Although less practical, production process can take place without the ecosystem service due to availability of substitutes
"
Small-scale rainfed arable crops,Filtration,M,"Although less practical, production process can take place without the ecosystem service due to availability of impact mitigation solutions"
Small-scale rainfed arable crops,Flood and storm protection,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale rainfed arable crops,Genetic materials,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Small-scale rainfed arable crops,Mass stabilisation and erosion control,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale rainfed arable crops,Pest control,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale rainfed arable crops,Pollination,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale rainfed arable crops,Soil quality,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale rainfed arable crops,Surface water,M,"Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service. Although less practical, production process can take place without the ecosystem service due to availability of substitutes
"
Small-scale rainfed arable crops,Ventilation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Small-scale rainfed arable crops,Water flow maintenance,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale rainfed arable crops,Water quality,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Solar energy provision,Climate regulation,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Solar energy provision,Flood and storm protection,M,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Solar energy provision,Ground water,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Solar energy provision,Mass stabilisation and erosion control,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Solar energy provision,Surface water,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Solids processing,Bio-remediation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Solids processing,Climate regulation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Solids processing,Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Solids processing,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Solids processing,Flood and storm protection,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Solids processing,Ground water,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Solids processing,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Solids processing,Mediation of sensory impacts,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Solids processing,Surface water,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Solids processing,Ventilation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Solids processing,Water flow maintenance,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Solids processing,Water quality,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Specialised consumer services,Bio-remediation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Specialised consumer services,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Steel production,Climate regulation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Steel production,Ground water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Steel production,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Steel production,Surface water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Steel production,Water flow maintenance,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Synthetic fertilizer production,Bio-remediation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Synthetic fertilizer production,Climate regulation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Synthetic fertilizer production,Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Synthetic fertilizer production,Filtration,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Synthetic fertilizer production,Flood and storm protection,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Synthetic fertilizer production,Genetic materials,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Synthetic fertilizer production,Ground water,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Synthetic fertilizer production,Mass stabilisation and erosion control,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Synthetic fertilizer production,Mediation of sensory impacts,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Synthetic fertilizer production,Surface water,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Synthetic fertilizer production,Ventilation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Synthetic fertilizer production,Water flow maintenance,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Synthetic fertilizer production,Water quality,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Synthetic fibre production,Bio-remediation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Synthetic fibre production,Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Synthetic fibre production,Fibres and other materials,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Synthetic fibre production,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Synthetic fibre production,Flood and storm protection,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Synthetic fibre production,Ground water,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Synthetic fibre production,Mass stabilisation and erosion control,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Synthetic fibre production,Surface water,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Synthetic fibre production,Water flow maintenance,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Synthetic fibre production,Water quality,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Telecommunication and wireless services,Climate regulation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Telecommunication and wireless services,Flood and storm protection,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Tobacco production,Fibres and other materials,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Tobacco production,Ground water,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Tobacco production,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Tobacco production,Surface water,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Tobacco production,Water flow maintenance,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Tyre and rubber production,Bio-remediation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Tyre and rubber production,Climate regulation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Tyre and rubber production,Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Tyre and rubber production,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Tyre and rubber production,Flood and storm protection,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Tyre and rubber production,Ground water,H,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Tyre and rubber production,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Tyre and rubber production,Mediation of sensory impacts,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Tyre and rubber production,Surface water,H,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Tyre and rubber production,Ventilation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Tyre and rubber production,Water flow maintenance,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Tyre and rubber production,Water quality,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Vulcanisation,Ground water,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Vulcanisation,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Vulcanisation,Surface water,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
"Water services (e.g. waste water, treatment and distribution)",Bio-remediation,M,"Although less practical, production process can take place without the ecosystem service due to availability of impact mitigation solutions"
"Water services (e.g. waste water, treatment and distribution)",Buffering and attenuation of mass flows,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
"Water services (e.g. waste water, treatment and distribution)",Climate regulation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
"Water services (e.g. waste water, treatment and distribution)",Filtration,M,"Although less practical, production process can take place without the ecosystem service due to availability of impact mitigation solutions"
"Water services (e.g. waste water, treatment and distribution)",Flood and storm protection,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
"Water services (e.g. waste water, treatment and distribution)",Ground water,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
"Water services (e.g. waste water, treatment and distribution)",Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
"Water services (e.g. waste water, treatment and distribution)",Mediation of sensory impacts,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
"Water services (e.g. waste water, treatment and distribution)",Pest control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
"Water services (e.g. waste water, treatment and distribution)",Soil quality,M,"Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service. Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
"Water services (e.g. waste water, treatment and distribution)",Surface water,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
"Water services (e.g. waste water, treatment and distribution)",Water flow maintenance,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
"Water services (e.g. waste water, treatment and distribution)",Water quality,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Wind energy provision,Climate regulation,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Wind energy provision,Flood and storm protection,M,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Wind energy provision,Mass stabilisation and erosion control,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
